#  
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2004-09-08T09:47:16
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml552

#RESOURCE=9010   
#Name: IX/10A   
#Title:	ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)   
#Table	IX_10A_1rxs:      
#Name: IX/10A/1rxs     
#Title:	The 1RXS catalogue               
#Column	_Glon	(F6.2)	       Galactic longitude (computed by VizieR, not part of the original data)     	[ucd=POS_GAL_LON]     
#Column	_Glat	(F6.2)	       Galactic latitude (computed by VizieR, not part of the original data)     	[ucd=POS_GAL_LAT]     
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     	[ucd=RECORD]     
#Column	1RXS	(A21)	       ROSAT All-Sky Survey Catalogue source name (1)        (link)     	[ucd=ID_MAIN]     
#Column	n_1RXS	(A1)	       [*] Names modified from previous version     	[ucd=NOTE]     
#Column	RAJ2000	(F9.5)	       Right ascension (J2000), decimal degrees     	[ucd=POS_EQ_RA_MAIN]     
#Column	DEJ2000	(F9.5)	       Declination (J2000), decimal degrees     	[ucd=POS_EQ_DEC_MAIN]     
#Column	PosErr	(I2)	       ? Total positional error (including 6" systematic error)     	[ucd=ERROR]     
#Column	ScrFlags	(A5)	       [T_] screening flags (2)     	[ucd=CODE_MISC]     
#Column	NewFlag	(A4)	       [T._] 'new data' flags (3)            	[ucd=CODE_MISC]     
#Column	Count	(E9.2)	       ? Source countrate (4)     	[ucd=PHOT_COUNT-RATE_X]     
#Column	e_Count	(E9.2)	       ? Error on Count (4)     	[ucd=ERROR]     
#Column	bgCt	(E9.2)	       ? Background countrate (4)     	[ucd=INST_BACKGROUND]     
#Column	ExpTime	(I6)	       ? Exposure time     	[ucd=TIME_EXPTIME]     
#Column	HR1	(F5.2)	       [-1/1]? Hardness ratio 1 (5)     	[ucd=SPECT_HARDNESS-RATIO]     
#Column	e_HR1	(F5.2)	       ? Error on HR1 (6)     	[ucd=ERROR]     
#Column	HR2	(F5.2)	       [-1/1]? hardness ratio 2 (5)     	[ucd=SPECT_HARDNESS-RATIO]     
#Column	e_HR2	(F5.2)	       ? Error on HR2 (6)     	[ucd=ERROR]     
#Column	Extent	(I5)	       Source extent, by which the source image exceeds the point spread function.     	[ucd=EXTENSION_DIAM]     
#Column	L_Extent	(I4)	       ? Likelihood of source extent (7)     	[ucd=STAT_LIKELIHOOD]     
#Column	Ldetect	(I4)	       ? Likelihood of source detection algorithm (7)     	[ucd=STAT_LIKELIHOOD]     
#Column	ExtRad	(I5)	       ? Extraction radius     	[ucd=REDUCT_EXTR-RAD]     
#Column	PrioFlags	(A6)	       [01] priority flags (8)     	[ucd=CODE_MISC]     
#Column	PHA	(A1)	       [ABCDb] PHA range of best detection (9)     	[ucd=CODE_MISC]     
#Column	VigFactor	(F5.2)	       ? Vignetting factor     	[ucd=INST_CORR-FACTOR]     
#Column	IncDate	(A10)	       ? Date when source was included (10)     	[ucd=TIME_DATE]     
#Column	UpdDate	(A10)	       ? Date when source properties changed (11)     	[ucd=TIME_DATE]     
#Column	Ncand	(I3)	       Number of identification candidates in the correlation catalogue     	[ucd=NUMBER]     
#Column	SASS	(I8)	       Identification number of SASS field (12)     	[ucd=ID_FIELD]     
#Column	---	(A1)	       original useless data field     	[ucd=]
#Column	MASOL	(I4)	       SASS source number (MASOL number) in SASS field (mainly for internal use)     	[ucd=ID_NUMBER]

_Glon;_Glat;recno;1RXS;n_1RXS;RAJ2000;DEJ2000;PosErr;ScrFlags;NewFlag;Count;e_Count;bgCt;ExpTime;HR1;e_HR1;HR2;e_HR2;Extent;L_Extent;Ldetect;ExtRad;PrioFlags;PHA;VigFactor;IncDate;UpdDate;Ncand;SASS;---;MASOL
deg;deg;;;;deg;deg;arcsec;;;ct/s;ct/s;ct/s/arcmin2;s;;;;;arcsec;;;arcsec;;;;"Y:M:D";"Y:M:D";;;toto;
------;------;--------;---------------------;-;---------;---------
340.56;-73.66;       1;1RXS J000000.0-392902; ;000.00000;-39.48403;19;_____;__..; 1.31e-01; 3.50e-02; 1.18e-03;   147; 0.69; 0.25; 0.28; 0.24;    0;    ;  25;  300;111110;b; 0.73;1996-06-14;          ; 13;33024001;-;0092
101.79;-52.47;       2;1RXS J000007.0+081653; ;000.02917;+08.28153;10;__T__;TT..; 1.87e-01; 2.05e-02; 1.07e-03;   418; 0.89; 0.10; 0.24; 0.13;    0;    ;  87;  360;111110;b; 0.71;1996-06-14;          ; 14;33016001;-;0020
312.28;-52.59;       3;1RXS J000010.0-633543; ;000.04167;-63.59528;11;_____;__..; 1.90e-01; 3.12e-02; 1.43e-03;   262;-0.36; 0.13;-0.35; 0.23;   13;   1;  81;  300;111111;b; 0.75;1996-06-14;          ;  4;33028001;-;0085
100.18;-55.20;       4;1RXS J000011.9+052318; ;000.04958;+05.38833; 7;_____;__..; 2.64e-01; 2.59e-02; 1.01e-03;   429; 0.24; 0.10; 0.00; 0.13;    0;    ; 279;  300;111111;b; 0.74;1996-06-14;          ;  8;33016001;-;0106
097.78;-58.58;       5;1RXS J000012.6+014621; ;000.05250;+01.77250;11;_____;__..; 8.11e-02; 1.61e-02; 9.05e-04;   398; 0.05; 0.20; 0.00; 0.26;   14;   1;  54;  300;111111;b; 0.73;1996-06-14;          ; 13;33017001;-;0045
116.16;-04.26;       6;1RXS J000013.5+575628; ;000.05625;+57.94125; 8;_____;__..; 1.18e-01; 1.73e-02; 6.87e-04;   503; 0.57; 0.12; 0.32; 0.14;    0;    ; 126;  300;111111;b; 0.73;1996-06-14;          ;  5;33007001;-;0025
034.81;-78.54;       7;1RXS J000019.5-261032; ;000.08125;-26.17556;12;_____;__..; 1.18e-01; 2.22e-02; 1.09e-03;   317;-0.26; 0.17; 0.19; 0.29;    0;    ;  50;  300;111111;b; 0.72;1996-06-14;          ; 13;33022001;-;0033
025.07;-78.70;       8;1RXS J000035.5-280553; ;000.14792;-28.09819;29;_____;__..; 7.20e-02; 1.83e-02; 1.06e-03;   314; 0.17; 0.27; 0.29; 0.51;   59;   6;  17;  300;111110;b; 0.75;1996-06-14;          ;  4;33022001;-;0077
120.57;+17.04;       9;1RXS J000038.4+794037; ;000.16000;+79.67694; 8;_____;__..; 1.01e-01; 1.27e-02; 9.14e-04;   819; 0.09; 0.11; 0.12; 0.15;    0;    ; 136;  300;111111;b; 0.74;1996-06-14;          ;  4;33003001;-;0064
117.05;-00.11;      10;1RXS J000042.5+621034; ;000.17708;+62.17611; 8;_____;__..; 1.59e-01; 1.86e-02; 1.14e-03;   516;-0.03; 0.11;-0.23; 0.16;    0;    ; 150;  300;111111;b; 0.74;1996-06-14;          ; 19;33006001;-;0056
035.30;-78.62;      11;1RXS J000044.2-260521; ;000.18417;-26.08931;15;_____;__..; 1.15e-01; 2.23e-02; 1.10e-03;   315;-0.11; 0.18; 0.45; 0.24;    0;    ;  49;  300;111111;b; 0.71;1996-06-14;          ;  7;33022001;-;0031
036.54;-78.59;      12;1RXS J000044.6-255030; ;000.18583;-25.84181;15;_____;__..; 5.04e-02; 1.49e-02; 1.09e-03;   316;-0.16; 0.27;-0.09; 0.41;    9;   1;  19;  300;111010;b; 0.74;1996-06-14;          ;  5;33022001;-;0024
106.12;-43.82;      13;1RXS J000055.5+172346; ;000.23125;+17.39611;12;_____;__..; 6.48e-02; 1.45e-02; 7.33e-04;   393; 0.10; 0.22;-0.13; 0.29;   14;   2;  43;  300;111111;b; 0.75;1996-06-14;          ;  4;33014001;-;0053
118.82;+08.46;      14;1RXS J000115.6+705535; ;000.31500;+70.92653;11;_____;__..; 6.85e-02; 1.42e-02; 1.27e-03;   442; 0.86; 0.12;-0.01; 0.19;    9;   1;  51;  300;111101;b; 0.75;1996-06-14;          ; 12;33004001;-;0165
006.56;-78.12;      15;1RXS J000116.3-315041; ;000.31792;-31.84472;15;_____;__..; 5.67e-02; 1.74e-02; 1.24e-03;   313; 0.27; 0.30;-0.48; 0.42;    0;    ;  17;  300;111111;b; 0.72;1996-06-14;          ; 13;33023001;-;0038
114.79;-11.80;      16;1RXS J000119.8+501659; ;000.33250;+50.28305;16;_____;__..; 8.07e-02; 1.63e-02; 1.00e-03;   416; 0.74; 0.15; 0.81; 0.13;    0;    ;  45;  300;111100;b; 0.71;1996-06-14;          ;  6;33008001;-;0088
109.48;-34.18;      17;1RXS J000123.3+272241; ;000.34708;+27.37806;14;_____;__..; 6.55e-02; 1.59e-02; 8.67e-04;   366;-0.64; 0.17;-0.85; 0.93;   15;   1;  29;  300;111011;b; 0.74;1996-06-14;          ;  6;33012001;-;0078
112.55;-22.25;      18;1RXS J000124.2+393648; ;000.35083;+39.61333;16;_____;__..; 5.38e-02; 1.45e-02; 6.84e-04;   337;-0.03; 0.26;-0.26; 0.37;    9;   1;  23;  300;111111;b; 0.73;1996-06-14;          ; 16;33010001;-;0063
