Name	F>100MeV	FREQ/PER	P/F0	Pdot/F1	P2dot/F2	EpochValidInit(MJD)	Epoch(MJD)	EpochValidInit(MJD)	txbary tn BinFlag	
PSRCRAB	226.5E-8	P		0.033	422.0E-15	1E-19			51050		51908			54102	51908.2			0	0		
PSRVELA	9E-6		P		0.089	2.0E-15		2E-20			51050		51905			54250	51095.6			1	0		
PSRVELAFREQ	9E-6		F		11.1980395056268	-1.56263E-11		1.98E-21			54050		51905			54250	51905.2 1 0		
PSRGEMINGA	3.66E-6	P		0.237	11.4E-15	2E-20			51050		51903			64250	51903.0	0			0
PSRB1055m52	21.9E-8	P		0.197	5.8E-15		32E-20			51050		51910			54350	51910.1	1			0		
PSRB1706m44	122.7E-8	P	0.102	92.2e-15	1E-23		51050		51901			54250	51901.4	0	0
PSRMUROM		9E-6	P	0.017		2.0e-13		3.0e-17		51050		51904			51911	51904.4	0		0 
PSRMUROM		9E-6	P	0.021		0.0e-13		0.0e-17		51911		51912			51914	51912.2	0		0
PSRMUROM		9E-6	P	0.045		1.0e-11		4.0e-18		51914		51915			51916	51915.12 0		0 
PSRMUROM		9E-6	P	0.015		3.0e-11		1.0e-14		51916		51917			56302	51917.37 0		0	
PSRMUROS_OLD		9E-6	P	0.015		3.0e-14		1E-22		51816		54833			54834.5	54833.0 0		0
PSRMUROS		9E-6	F	11.1972		-1.56e-11		6.2E-22		54000.5		54900			68302	54900.0 0		0
PSRMUROB		9E-6	P	0.015		3.0e-14		1.0e-14		51816		51907			68302	51907.0 0		1
PSRMURON1		9E-6	P	0.015		3.0e-14		1.0e-14		51816		51907			68302	51907.0 1		0
PSRMURON2		9E-6	P	0.015		3.0e-14		0.0		51816		51907			68302	51907.0 2		0
PSRTEST		9E-6	P	0.012		0.0		0.0		51050		51569			54250	51569.0	 0	0

