PSR ID	B(deg)	L(deg)	Period(s)	Pdot	Flux(photons/cm^2/s)	LowCut(GeV)	HighCut(GeV)	SpectralIndex	T-Zero(MJD)	Binary(Y/N)	NumBins	Lite1	Lite2	Lite3	Lite4	Lite5	Lite6	Lite7	Lite8	Lite9	Lite10	Lite11	Lite12	Lite13	Lite14	Lite15	Lite16	Lite17	Lite18	Lite19	Lite20	Lite21
GRS01369	3.56E+00	2.98E+01	2.60E-01	1.49E-15	3.42E-09	1.00E-01	5.73E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.26E-10	2.21E-09	1.05E-08	4.28E-08	1.05E-08	2.21E-09	1.26E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00728	-4.61E+00	3.14E+02	5.63E-01	3.72E-15	2.09E-10	1.00E-01	3.63E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.18E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00927	-1.69E-01	2.58E+02	6.61E-01	3.13E-15	2.77E-12	1.00E-01	3.96E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.54E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS001119	-1.43E+00	2.15E+02	1.50E-01	5.44E-15	9.34E-12	1.00E-01	3.00E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.23E-11	1.02E-10	4.23E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS001589	8.63E-01	3.45E+02	2.71E-01	1.07E-14	3.82E-11	1.00E-01	2.14E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-11	2.06E-10	3.11E-10	2.06E-10	2.00E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS005892	-9.35E-01	3.00E+01	4.88E-01	2.35E-14	4.19E-10	1.00E-01	1.54E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.53E-10	1.82E-09	4.23E-09	1.82E-09	2.53E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS006887	-6.83E-01	3.18E+02	5.53E-01	2.24E-14	9.03E-12	1.00E-01	1.48E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.25E-11	9.54E-11	4.25E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS008452	8.13E-01	3.07E+02	3.10E-01	5.67E-15	2.38E-10	1.00E-01	2.94E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.08E-10	6.96E-10	3.14E-09	6.96E-10	1.08E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS008759	1.03E+00	3.03E+01	3.16E-01	2.11E-16	1.07E-10	1.00E-01	1.52E+02	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.14E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS0010174	1.46E+00	3.60E+01	3.31E-01	3.78E-15	9.52E-11	1.00E-01	3.60E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.69E-11	3.99E-10	9.73E-10	3.99E-10	6.69E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS0011284	2.79E+00	2.07E+01	5.04E-01	4.72E-15	9.53E-11	1.00E-01	3.22E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.80E-11	3.90E-10	1.03E-09	3.90E-10	4.80E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS0012745	3.47E+00	3.46E+00	4.88E-01	1.64E-15	1.06E-10	1.00E-01	5.46E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.45E-11	3.04E-10	1.47E-09	3.04E-10	1.45E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS0114252	-1.40E+00	2.65E+01	4.61E-01	8.83E-15	9.68E-09	1.00E-01	2.35E+01	6.67E-01	5.19E+04	N	21	6.04E-09	6.13E-09	6.39E-09	6.85E-09	7.54E-09	8.49E-09	9.73E-09	1.12E-08	1.28E-08	1.42E-08	1.47E-08	1.42E-08	1.28E-08	1.12E-08	9.73E-09	8.49E-09	7.54E-09	6.85E-09	6.39E-09	6.13E-09	6.04E-09
